,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,VA8aPObRynlwR1TGzbzraQ,founding-farmers-washington-washington-3,Founding Farmers - Washington,https://s3-media3.fl.yelpcdn.com/bphoto/qJtTJzMf2BIYv8C0-vLG0A/o.jpg,False,https://www.yelp.com/biz/founding-farmers-washington-washington-3?adjust_creative=oerL3XW15AsRcrkgwvui8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oerL3XW15AsRcrkgwvui8w,16515,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 38.9003656616031, 'longitude': -77.04443538060977}","['pickup', 'delivery']",$$,"{'address1': '1924 Pennsylvania Ave NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20006', 'country': 'US', 'state': 'DC', 'display_address': ['1924 Pennsylvania Ave NW', 'Washington, DC 20006']}",+12028228783,(202) 822-8783,223.51274988194706
1,uDeOuGCBMFgGE0c5WjxH1g,gypsy-kitchen-dc-washington,Gypsy Kitchen DC,https://s3-media4.fl.yelpcdn.com/bphoto/CNNAw486qYhKGKnGAhQ0jg/o.jpg,False,https://www.yelp.com/biz/gypsy-kitchen-dc-washington?adjust_creative=oerL3XW15AsRcrkgwvui8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oerL3XW15AsRcrkgwvui8w,776,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': 38.91488, 'longitude': -77.03155}",['delivery'],,"{'address1': '1825 14th St NW', 'address2': None, 'address3': '', 'city': 'Washington, DC', 'zip_code': '20009', 'country': 'US', 'state': 'DC', 'display_address': ['1825 14th St NW', 'Washington, DC 20009']}",+12027650500,(202) 765-0500,2115.346619343344
2,9X0F8gl4mPSSFHkxSB2lXA,il-canale-washington-2,il Canale,https://s3-media2.fl.yelpcdn.com/bphoto/PiJQLIN8yipIue5tlKPEXQ/o.jpg,False,https://www.yelp.com/biz/il-canale-washington-2?adjust_creative=oerL3XW15AsRcrkgwvui8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oerL3XW15AsRcrkgwvui8w,4513,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 38.904493, 'longitude': -77.0609744}","['delivery', 'restaurant_reservation', 'pickup']",$$,"{'address1': '1065 31st St', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20007', 'country': 'US', 'state': 'DC', 'display_address': ['1065 31st St', 'Washington, DC 20007']}",+12023374444,(202) 337-4444,1302.6692147115448
3,sxNUpaApjh_54-l9RcJRDA,farmers-fishers-bakers-washington,Farmers Fishers Bakers,https://s3-media2.fl.yelpcdn.com/bphoto/ubvimTNqb6Rvc-blrxukGw/o.jpg,False,https://www.yelp.com/biz/farmers-fishers-bakers-washington?adjust_creative=oerL3XW15AsRcrkgwvui8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oerL3XW15AsRcrkgwvui8w,4720,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 38.90178386860307, 'longitude': -77.05973267918453}","['pickup', 'delivery']",$$,"{'address1': '3000 K St NW', 'address2': None, 'address3': 'Washington Harbour', 'city': 'Washington, DC', 'zip_code': '20007', 'country': 'US', 'state': 'DC', 'display_address': ['3000 K St NW', 'Washington Harbour', 'Washington, DC 20007']}",+12022988783,(202) 298-8783,1116.8913369448967
4,VlDWu_ftKpLmWoC0x7x1dA,pisco-y-nazca-washington-2,Pisco y Nazca,https://s3-media3.fl.yelpcdn.com/bphoto/Bm6TjIoI5lFxhN4_a3Wowg/o.jpg,False,https://www.yelp.com/biz/pisco-y-nazca-washington-2?adjust_creative=oerL3XW15AsRcrkgwvui8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oerL3XW15AsRcrkgwvui8w,2270,"[{'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 38.90398223, 'longitude': -77.0426388}","['pickup', 'delivery']",$$,"{'address1': '1823 L St NW', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20036', 'country': 'US', 'state': 'DC', 'display_address': ['1823 L St NW', 'Washington, DC 20036']}",+12025593726,(202) 559-3726,570.5715803843583
5,7y-L0iOBb536SevW-EemEg,sampannee-washington,Sampannee,https://s3-media1.fl.yelpcdn.com/bphoto/3YJcjAhmaWex7fqrSTX15A/o.jpg,False,https://www.yelp.com/biz/sampannee-washington?adjust_creative=oerL3XW15AsRcrkgwvui8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oerL3XW15AsRcrkgwvui8w,61,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 38.909403, 'longitude': -77.04762}","['pickup', 'restaurant_reservation', 'delivery']",,"{'address1': '2122 P St NW', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20037', 'country': 'US', 'state': 'DC', 'display_address': ['2122 P St NW', 'Washington, DC 20037']}",+12028095004,(202) 809-5004,1032.360376667623
6,aZUrwzRbkkNPm8_JDWXkDQ,the-admiral-washington,The Admiral,https://s3-media1.fl.yelpcdn.com/bphoto/_HObcWjM52iCzSuJvESnHA/o.jpg,False,https://www.yelp.com/biz/the-admiral-washington?adjust_creative=oerL3XW15AsRcrkgwvui8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oerL3XW15AsRcrkgwvui8w,268,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American'}]",4.5,"{'latitude': 38.90908, 'longitude': -77.0445}","['pickup', 'delivery']",$$,"{'address1': '1 Dupont Cir NW', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20036', 'country': 'US', 'state': 'DC', 'display_address': ['1 Dupont Cir NW', 'Washington, DC 20036']}",+12025066696,(202) 506-6696,1017.781519709578
7,j9qYRR8HCXm_GEnetijOGA,le-diplomate-washington,Le Diplomate,https://s3-media2.fl.yelpcdn.com/bphoto/sgwwotGfKNhEUtxepr24Og/o.jpg,False,https://www.yelp.com/biz/le-diplomate-washington?adjust_creative=oerL3XW15AsRcrkgwvui8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oerL3XW15AsRcrkgwvui8w,4977,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 38.91135, 'longitude': -77.03157}","['pickup', 'delivery']",$$$,"{'address1': '1601 14th St NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20009', 'country': 'US', 'state': 'DC', 'display_address': ['1601 14th St NW', 'Washington, DC 20009']}",+12023323333,(202) 332-3333,1809.5540651785668
8,hVCsh_MknDIYoBU9kscMZw,proper-21-k-street-washington-2,Proper 21 - K Street,https://s3-media1.fl.yelpcdn.com/bphoto/g18ZXCtwPAhD8Hr6p6MHSQ/o.jpg,False,https://www.yelp.com/biz/proper-21-k-street-washington-2?adjust_creative=oerL3XW15AsRcrkgwvui8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oerL3XW15AsRcrkgwvui8w,188,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'New American'}]",4.0,"{'latitude': 38.90296, 'longitude': -77.046282}","['pickup', 'delivery']",$$,"{'address1': '2033 K St NW', 'address2': None, 'address3': None, 'city': 'Washington, DC', 'zip_code': '20006', 'country': 'US', 'state': 'DC', 'display_address': ['2033 K St NW', 'Washington, DC 20006']}",+12024504485,(202) 450-4485,317.9235598469338
9,NxGHwn3HYqqXypSs6Ix_kw,dukes-grocery-washington-2,Duke's Grocery,https://s3-media4.fl.yelpcdn.com/bphoto/xIkTNbRYUW9HzfWUoatkdA/o.jpg,False,https://www.yelp.com/biz/dukes-grocery-washington-2?adjust_creative=oerL3XW15AsRcrkgwvui8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oerL3XW15AsRcrkgwvui8w,358,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.0,"{'latitude': 38.9005159886944, 'longitude': -77.0460143246063}","['pickup', 'delivery']",$$,"{'address1': '2000 Pennsylvania Ave NW', 'address2': None, 'address3': '', 'city': 'Washington, DC', 'zip_code': '20006', 'country': 'US', 'state': 'DC', 'display_address': ['2000 Pennsylvania Ave NW', 'Washington, DC 20006']}",+12027333967,(202) 733-3967,95.3494415033151
